,片名,国家,年代,导演,评分,人数,类型,短评
195,釜山行,韩国,2016,延尚昊,8.4,649556,动作 惊悚 灾难,揭露人性的丧尸题材力作。
196,穿越时空的少女,日本,2006,细田守,8.6,270410,剧情 爱情 科幻 动画,爱上未来的你。 
197,魂断蓝桥,美国,1940,茂文·勒鲁瓦,8.8,177261,剧情 爱情 战争,中国式内在的美国电影。
198,人生果实,日本,2017,伏原健之,9.5,58829,纪录片,土壤没有落叶不会肥沃，没有了你就不算人生。
199,疯狂的石头,中国大陆 中国香港,2006,宁浩,8.4,501046,喜剧 犯罪,中国版《两杆大烟枪》。
200,奇迹男孩,美国 中国香港,2017,斯蒂芬·卓博斯基,8.6,361606,剧情 儿童 家庭,世界不完美，爱会有奇迹。
201,终结者2：审判日,美国 法国,1991,詹姆斯·卡梅隆,8.7,222685,动作 科幻,少见的超越首部的续集，动作片中的经典。
202,完美陌生人,意大利,2016,保罗·格诺维瑟,8.5,360721,剧情 喜剧,来啊，互相伤害啊！
203,新世界,韩国,2013,朴勋政,8.8,181823,剧情 犯罪,要做就做得狠一点，这样才能活下去。
204,猜火车,英国,1996,丹尼·博伊尔,8.5,320893,剧情 犯罪,不可猜的青春迷笛。 
205,阿飞正传,中国香港,1990,王家卫,8.5,320921,犯罪 剧情 爱情,王家卫是一种风格，张国荣是一个代表。
206,可可西里,中国大陆 中国香港,2004,陆川,8.7,186947,剧情 犯罪,坚硬的信仰。
207,初恋这件小事,泰国,2010,普特鹏·普罗萨卡·那·萨克那卡林,8.4,687822,剧情 喜剧 爱情,黑小鸭速效美白记。
208,香水,德国 法国 西班牙 美国,2006,汤姆·提克威,8.5,386500,剧情 犯罪 奇幻,一个单凭体香达到高潮的男人。
209,牯岭街少年杀人事件,中国台湾,1991,杨德昌,8.8,163758,剧情 犯罪,弱者送给弱者的一刀。
210,2001太空漫游,英国 美国,1968,斯坦利·库布里克,8.8,173760,科幻 惊悚 冒险,现代科幻电影的开山之作，最伟大导演的最伟大影片。
211,哈利·波特与阿兹卡班的囚徒,英国 美国,2004,Alfonso,8.5,312335,剧情 奇幻 冒险,不一样的导演，不一样的哈利·波特。
212,爱在午夜降临前,美国 希腊,2013,理查德·林克莱特,8.8,186674,剧情 爱情,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
213,谍影重重2,美国 德国,2004,保罗·格林格拉斯,8.6,235873,动作 悬疑 惊悚,谁说王家卫镜头很晃？
214,谍影重重,美国 德国 捷克,2002,道格·里曼,8.6,281316,动作 悬疑 惊悚,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
215,战争之王,美国 法国,2005,安德鲁·尼科尔,8.6,241106,剧情 犯罪,做一颗让别人需要你的棋子。
216,地球上的星星,印度,2007,阿米尔·汗,8.9,132660,剧情 儿童 家庭,天使保护事件始末。
217,青蛇,中国香港,1993,徐克,8.5,327760,剧情 爱情 奇幻 古装,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
218,无耻混蛋,德国 美国,2009,Quentin,8.5,320036,剧情 犯罪,昆汀同学越来越变态了，比北野武还杜琪峰。
219,新龙门客栈,中国香港 中国大陆,1992,李惠民,8.6,282485,动作 爱情 武侠 古装,嬉笑怒骂，调风动月。
220,浪潮,德国,2008,丹尼斯·甘塞尔,8.7,185560,剧情 惊悚,世界离独裁只有五天。
